#,Element,Ox.-number Z,"bondtype",CN,"Spinstate","Radius RHoWior Cordero","Crystal Radius CRShannon","Ionic Radius IRShannon","Covalent RadiusCordero",Z/R,"charge surface ratio[(Z/R)/4pR2]",Notes,
40,As,0,C(1),0,,1.19,,,1.19,0.00,0.000,,
41,As,0,K(1),3,,1.21,,,,0.00,0.000,,
42,As,0,K(2),2,,1.11,,,,0.00,0.000,,
43,As,0,W,0,,2.0,,,,0.00,0.000,,
44,As,3,I,6,,0.72,0.72,0.58,,4.17,0.640,,
45,As,5,I,4,,0.475,0.475,0.335,,10.53,3.713,,
46,As,5,I,6,,0.60,0.60,0.46,,8.33,1.842,,
47,At,-1,I,6,,2.13,,,,-0.47,-0.008,,
48,At,0,C(1),0,,1.5,,,1.5,0.00,0.000,,
49,At,0,K,1,,1.41,,,,0.00,0.000,,
50,Au,0,C(1),0,,1.36,,,1.36,0.00,0.000,,
51,Au,0,M,12,,1.442,,,,0.00,0.000,,
52,Au,0,W,0,,1.7,,,,0.00,0.000,,
53,Au,1,I,6,,1.51,1.51,1.37,,0.66,0.023,,
54,Au,3,I,6,,0.99,0.99,0.85,,3.03,0.246,,
55,Au,3,I,4q,,0.82,0.82,0.68,,3.66,0.433,,
56,Au,5,I,6,,0.71,0.71,0.57,,7.04,1.112,,
57,B,0,C(1),0,,0.84,,,0.84,0.00,0.000,,
58,B,0,K(1),3,,0.82,,,,0.00,0.000,,
59,B,0,K(1),4,,0.88,,,,0.00,0.000,,
60,B,0,K(2),3,,0.78,,,,0.00,0.000,,
61,B,0,K(3),2,,0.71,,,,0.00,0.000,,
62,B,3,I,3,,0.15,0.15,0.01,,20.00,70.736,,
63,B,3,I,4,,0.25,0.25,0.11,,12.00,15.279,,
64,B,3,I,6,,0.41,0.41,0.27,,7.32,3.464,,
65,Ba,0,C(1),0,,2.15,,,2.15,0.00,0.000,,
66,Ba,0,M,8,,2.174,,,,0.00,0.000,,
67,Ba,0,M,12,,2.24,,,,0.00,0.000,,
68,Ba,2,I,6,,1.49,1.49,1.35,,1.34,0.048,,
69,Ba,2,I,7,,1.52,1.52,1.38,,1.32,0.045,,
70,Ba,2,I,8,,1.56,1.56,1.42,,1.28,0.042,,
71,Ba,2,I,9,,1.61,1.61,1.47,,1.24,0.038,,
72,Ba,2,I,10,,1.66,1.66,1.52,,1.20,0.035,,
73,Ba,2,I,11,,1.71,1.71,1.57,,1.17,0.032,,
74,Ba,2,I,12,,1.75,1.75,1.61,,1.14,0.030,,
75,Be,0,C(1),0,,0.96,,,0.96,0.00,0.000,,
76,Be,0,K(1),2,,0.93,,,,0.00,0.000,,
77,Be,0,M,12,,1.113,,,,0.00,0.000,,
78,Be,2,I,3,,0.30,0.30,0.16,,6.67,5.895,,
79,Be,2,I,4,,0.41,0.41,0.27,,4.88,2.309,,
80,Be,2,I,6,,0.59,0.59,0.45,,3.39,0.775,,
81,Bi,0,C(1),0,,1.48,,,1.48,0.00,0.000,,
82,Bi,0,K(1),3,,1.50,,,,0.00,0.000,,
83,Bi,0,M,3,,1.535,,,,0.00,0.000,,
84,Bi,0,M,12,,1.82,,,,0.00,0.000,,
85,Bi,0,W,0,,2.4,,,,0.00,0.000,,
86,Bi,3,I,5,,1.10,1.10,0.96,,2.73,0.179,,
87,Bi,3,I,6,,1.17,1.17,1.03,,2.56,0.149,,
88,Bi,3,I,8,,1.31,1.31,1.17,,2.29,0.106,,
89,Bi,5,I,6,,0.90,0.90,0.76,,5.56,0.546,,
90,Bk,0,M,12,,1.703,,,,0.00,0.000,,
91,Bk,3,I,6,,1.1,1.1,0.96,,2.73,0.179,,
92,Bk,4,I,6,,0.97,0.97,0.83,,4.12,0.349,,
93,Bk,4,I,8,,1.07,1.07,0.93,,3.74,0.260,,
94,Br,-1,I,6,,1.82,1.82,1.96,,-0.55,-0.013,,
95,Br,0,C(1),0,,1.2,,,1.2,0.00,0.000,,
96,Br,0,K(1),1,,1.14,,,,0.00,0.000,,
97,Br,0,W,0,,1.9,,,,0.00,0.000,,
98,Br,3,I,4q,,0.73,0.73,0.59,,4.11,0.614,,
99,Br,5,I,3p,,0.45,0.45,0.31,,11.11,4.366,,
100,Br,7,I,4,,0.39,0.39,0.25,,17.95,9.391,,
101,Br,7,I,6,,0.53,0.53,0.39,,13.21,3.742,,
102,C,0,aromatic,3p,,0.72,,,,0.00,0.000,,
103,C,0,C(1),0,,0.76,,,0.76,0.00,0.000,,
104,C,0,C(2),0,,0.73,,,0.73,0.00,0.000,,
105,C,0,C(3),0,,0.69,,,0.69,0.00,0.000,calculated as (0.77+0.67)/2,
106,C,0,K(1),4,,0.77,,,,0.00,0.000,,
107,C,0,K(2),3,,0.67,,,,0.00,0.000,,
108,C,0,K(3),2,,0.60,,,,0.00,0.000,,
109,C,0,W,0,,1.7,,,,0.00,0.000,,
110,C,4,I,3,,0.06,0.06,-0.08,,66.67,1473.657,,
111,C,4,I,4,,0.29,0.29,0.15,,13.79,13.051,,
112,C,4,I,6,,0.3,0.3,0.16,,13.33,11.789,,
113,Ca,0,C(1),0,,1.76,,,1.76,0.00,0.000,,
114,Ca,0,M,12,,1.974,,,,0.00,0.000,,
115,Ca,2,I,6,,1.14,1.14,1,,1.75,0.107,,
116,Ca,2,I,7,,1.20,1.20,1.06,,1.67,0.092,,
117,Ca,2,I,8,,1.26,1.26,1.12,,1.59,0.080,,
118,Ca,2,I,9,,1.32,1.32,1.18,,1.52,0.069,,
119,Ca,2,I,10,,1.37,1.37,1.23,,1.46,0.062,,
120,Ca,2,I,12,,1.48,1.48,1.34,,1.35,0.049,,
121,Cd,0,C(1),0,,1.44,,,1.44,0.00,0.000,,
122,Cd,0,M,12,,1.489,,,,0.00,0.000,,
123,Cd,0,W,0,,1.6,,,,0.00,0.000,,
124,Cd,2,I,4,,0.92,0.92,0.78,,2.17,0.204,,
125,Cd,2,I,5,,1.01,1.01,0.87,,1.98,0.154,,
126,Cd,2,I,6,,1.09,1.09,0.95,,1.83,0.123,,
127,Cd,2,I,7,,1.17,1.17,1.03,,1.71,0.099,,
128,Cd,2,I,8,,1.24,1.24,1.1,,1.61,0.083,,
129,Ce,0,C(1),0,,2.04,,,2.04,0.00,0.000,,
130,Ce,0,M,12,,1.825,,,,0.00,0.000,,
131,Ce,3,I,6,,1.15,1.15,1.01,,2.61,0.157,,
132,Ce,3,I,7,,1.21,1.21,1.07,,2.48,0.135,,
133,Ce,3,I,8,,1.283,1.283,1.143,,2.34,0.113,,
134,Ce,3,I,9,,1.336,1.336,1.196,,2.25,0.100,,
135,Ce,3,I,10,,1.39,1.39,1.25,,2.16,0.089,,
136,Ce,3,I,12,,1.48,1.48,1.34,,2.03,0.074,,
137,Ce,4,I,6,,1.01,1.01,0.87,,3.96,0.309,,
138,Ce,4,I,8,,1.11,1.11,0.97,,3.60,0.233,,
139,Ce,4,I,10,,1.21,1.21,1.07,,3.31,0.180,,
140,Ce,4,I,12,,1.28,1.28,1.14,,3.13,0.152,,
141,Cf,0,M,12,,1.69,,,,0.00,0.000,,
142,Cf,3,I,6,,1.09,1.09,0.95,,2.75,0.184,,
143,Cf,4,I,6,,0.961,0.961,0.821,,4.16,0.359,,
144,Cf,4,I,8,,1.06,1.06,0.92,,3.77,0.267,,
145,Cl,-1,I,6,,1.67,1.67,1.81,,-0.60,-0.017,,
146,Cl,0,C(1),0,,1.02,,,1.02,0.00,0.000,,
147,Cl,0,K(1),1,,0.99,,,,0.00,0.000,,
148,Cl,0,W,0,,1.8,,,,0.00,0.000,,
149,Cl,5,I,3p,,0.26,0.26,0.12,,19.23,22.638,,
150,Cl,7,I,4,,0.22,0.22,0.08,,31.82,52.314,,
151,Cl,7,I,6,,0.41,0.41,0.27,,17.07,8.082,,
152,Cm,0,C(1),0,,1.69,,,1.69,0.00,0.000,,
153,Cm,0,M,12,,1.743,,,,0.00,0.000,,
154,Cm,3,I,6,,1.11,1.11,0.97,,2.70,0.175,,
155,Cm,4,I,6,,0.99,0.99,0.85,,4.04,0.328,,
156,Cm,4,I,8,,1.09,1.09,0.95,,3.67,0.246,,
157,Co,0,C(1),0,ls,1.26,,,1.26,0.00,0.000,,
158,Co,0,C(1),0,hs,1.5,,,1.5,0.00,0.000,,
159,Co,0,M,12,,1.253,,,,0.00,0.000,,
160,Co,2,I,4,hs,0.72,0.72,0.58,,2.78,0.426,,
161,Co,2,I,5,,0.81,0.81,0.67,,2.47,0.299,,
162,Co,2,I,6,ls,0.79,0.79,0.65,,2.53,0.323,,
163,Co,2,I,6,hs,0.885,0.885,0.745,,2.26,0.230,,
164,Co,2,I,8,,1.04,1.04,0.9,,1.92,0.141,,
165,Co,3,I,6,ls,0.685,0.685,0.545,,4.38,0.743,,
166,Co,3,I,6,hs,0.75,0.75,0.61,,4.00,0.566,,
167,Co,4,I,4,,0.54,0.54,0.4,,7.41,2.021,,
168,Co,4,I,6,hs,0.67,0.67,0.53,,5.97,1.058,,
169,Cr,0,C(1),0,,1.39,,,1.39,0.00,0.000,,
170,Cr,0,M,8,,1.249,,,,0.00,0.000,,
171,Cr,0,M,12,,1.29,,,,0.00,0.000,,
172,Cr,2,I,6,ls,0.87,0.87,0.73,,2.30,0.242,,
173,Cr,2,I,6,hs,0.94,0.94,0.8,,2.13,0.192,,
174,Cr,3,I,6,,0.755,0.755,0.615,,3.97,0.555,,
175,Cr,4,I,4,,0.55,0.55,0.41,,7.27,1.913,,
176,Cr,4,I,6,,0.69,0.69,0.55,,5.80,0.969,,
177,Cr,5,I,4,,0.485,0.485,0.345,,10.31,3.488,,
178,Cr,5,I,6,,0.63,0.63,0.49,,7.94,1.591,,
179,Cr,5,I,8,,0.71,0.71,0.57,,7.04,1.112,,
180,Cr,6,I,4,,0.40,0.40,0.26,,15.00,7.460,,
181,Cr,6,I,6,,0.58,0.58,0.44,,10.34,2.447,,
182,Cs,0,C(1),0,,2.44,,,2.44,0.00,0.000,,
183,Cs,0,M,8,,1.655,,,,0.00,0.000,,
184,Cs,0,M,12,,2.72,,,,0.00,0.000,,
185,Cs,1,I,6,,1.81,1.81,1.67,,0.55,0.013,,
186,Cs,1,I,8,,1.88,1.88,1.74,,0.53,0.012,,
187,Cs,1,I,9,,1.92,1.92,1.78,,0.52,0.011,,
188,Cs,1,I,10,,1.95,1.95,1.81,,0.51,0.011,,
189,Cs,1,I,11,,1.99,1.99,1.85,,0.50,0.010,,
190,Cs,1,I,12,,2.02,2.02,1.88,,0.50,0.010,,
191,Cu,0,C(1),0,,1.32,,,1.32,0.00,0.000,,
192,Cu,0,M,12,,1.278,,,,0.00,0.000,,
193,Cu,0,W,0,,1.4,,,,0.00,0.000,,
194,Cu,1,I,2,,0.60,0.60,0.46,,1.67,0.368,,
195,Cu,1,I,4,,0.74,0.74,0.6,,1.35,0.196,,
196,Cu,1,I,6,,0.91,0.91,0.77,,1.10,0.106,,
197,Cu,2,I,4,,0.71,0.71,0.57,,2.82,0.445,,
198,Cu,2,I,5,,0.79,0.79,0.65,,2.53,0.323,"HoWi calculated as Linear extrapolation 0.046*CN+1.026, for Shannon radius subtracted 0.14",
199,Cu,2,I,6,,0.87,0.87,0.73,,2.30,0.242,,
200,Cu,2,I,4q,,0.71,0.71,0.57,,2.82,0.445,,
201,Cu,3,I,6,ls,0.68,0.68,0.54,,4.41,0.759,,
202,Dy,0,C(1),0,,1.92,,,1.92,0.00,0.000,,
203,Dy,0,M,12,,1.752,,,,0.00,0.000,,
204,Dy,2,I,6,,1.21,1.21,1.07,,1.65,0.090,,
205,Dy,2,I,7,,1.27,1.27,1.13,,1.57,0.078,"HoWi calculated as Linear extrapolation 0.0575*CN+0.7445, for Shannon radius subtracted 0.14",1.4345
206,Dy,2,I,8,,1.33,1.33,1.19,,1.50,0.068,,
207,Dy,3,I,6,,1.052,1.052,0.912,,2.85,0.205,,
208,Dy,3,I,7,,1.11,1.11,0.97,,2.70,0.175,,
209,Dy,3,I,8,,1.167,1.167,1.027,,2.57,0.150,,
210,Dy,3,I,9,,1.223,1.223,1.083,,2.45,0.131,,
211,Er,0,C(1),0,,1.89,,,1.89,0.00,0.000,,
212,Er,0,M,12,,1.734,,,,0.00,0.000,,
213,Er,3,I,6,,1.030,1.030,0.890,,2.91,0.218,,
214,Er,3,I,7,,1.085,1.085,0.945,,2.76,0.187,,
215,Er,3,I,8,,1.144,1.144,1.004,,2.62,0.159,,
216,Er,3,I,9,,1.202,1.202,1.062,,2.50,0.137,,
217,Eu,0,C(1),0,,1.98,,,1.98,0.00,0.000,,
218,Eu,0,M,12,,1.995,,,,0.00,0.000,,
219,Eu,2,I,6,,1.31,1.31,1.17,,1.53,0.071,added radius HoWi based on Shannon value,
220,Eu,2,I,7,,1.34,1.34,1.2,,1.49,0.066,,
221,Eu,2,I,8,,1.39,1.39,1.25,,1.44,0.059,,
222,Eu,2,I,9,,1.44,1.44,1.3,,1.39,0.053,,
223,Eu,2,I,10,,1.49,1.49,1.35,,1.34,0.048,,
224,Eu,2,I,12,,1.578,1.578,1.438,,1.27,0.041,,
225,Eu,3,I,6,,1.087,1.087,0.947,,2.76,0.186,,
226,Eu,3,I,7,,1.15,1.15,1.01,,2.61,0.157,,
227,Eu,3,I,8,,1.206,1.206,1.066,,2.49,0.136,,
228,Eu,3,I,9,,1.260,1.260,1.120,,2.38,0.119,,
229,Eu,3,I,12,,1.4345,1.4345,1.2935,,2.09,0.081,,
230,F,-1,I,2,,1.145,1.145,1.285,,-0.87,-0.053,,
231,F,-1,I,3,,1.16,1.16,1.30,,-0.86,-0.051,,
232,F,-1,I,4,,1.17,1.17,1.31,,-0.85,-0.050,,
233,F,-1,I,6,,1.19,1.19,1.33,,-0.84,-0.047,,
234,F,0,C(1),0,,0.57,,,0.57,0.00,0.000,,
235,F,0,K(1),1,,0.64,,,,0.00,0.000,,
236,F,0,K(1),1,,0.72,,,,0.00,0.000,,
237,F,0,K(2),1,,0.60,,,,0.00,0.000,,
238,F,0,W,0,,1.5,,,,0.00,0.000,,
239,F,7,I,6,,0.22,0.22,0.08,,31.82,52.314,,
240,Fe,0,C(1),0,ls,1.32,,,1.32,0.00,0.000,,
241,Fe,0,C(1),0,hs,1.52,,,1.52,0.00,0.000,,
242,Fe,0,M,8,,1.241,,,,0.00,0.000,,
243,Fe,0,M,12,,1.26,,,,0.00,0.000,,
244,Fe,2,I,4,hs,0.77,0.77,0.63,,2.60,0.349,,
245,Fe,2,I,6,ls,0.75,0.75,0.61,,2.67,0.377,,
246,Fe,2,I,6,hs,0.920,0.920,0.780,,2.17,0.204,,
247,Fe,2,I,8,hs,1.06,1.06,0.92,,1.89,0.134,,
248,Fe,2,I,4q,,0.78,0.78,0.64,,2.56,0.335,,
249,Fe,3,I,4,hs,0.63,0.63,0.49,,4.76,0.955,,
250,Fe,3,I,5,,0.72,0.72,0.58,,4.17,0.640,,
251,Fe,3,I,6,ls,0.69,0.69,0.55,,4.35,0.727,,
252,Fe,3,I,6,hs,0.785,0.785,0.645,,3.82,0.494,,
253,Fe,3,I,8,hs,0.92,0.92,0.78,,3.26,0.307,,
254,Fe,4,I,6,,0.725,0.725,0.585,,5.52,0.835,,
255,Fe,6,I,4,,0.39,0.39,0.25,,15.38,8.049,,
256,Fr,0,C(1),0,,2.6,,,2.6,0.00,0.000,,
257,Fr,0,M,8,,2.7,,,,0.00,0.000,,
258,Fr,1,I,6,,1.94,1.94,1.8,,0.52,0.011,,
259,Ga,0,C(1),0,,1.22,,,1.22,0.00,0.000,,
260,Ga,0,K(1),3,,1.26,,,,0.00,0.000,,
261,Ga,0,K(2),2,,1.16,,,,0.00,0.000,,
262,Ga,0,M,7,,1.35,,,,0.00,0.000,,
263,Ga,0,M,12,,1.53,,,,0.00,0.000,,
264,Ga,0,W,0,,1.9,,,,0.00,0.000,,
265,Ga,3,I,4,,0.61,0.61,0.47,,4.92,1.052,,
266,Ga,3,I,5,,0.69,0.69,0.55,,4.35,0.727,,
267,Ga,3,I,6,,0.760,0.760,0.620,,3.95,0.544,,
268,Gd,0,C(1),0,,1.96,,,1.96,0.00,0.000,,
269,Gd,0,M,12,,1.787,,,,0.00,0.000,,
270,Gd,3,I,6,,1.078,1.078,0.938,,2.78,0.191,,
271,Gd,3,I,7,,1.14,1.14,1,,2.63,0.161,,
272,Gd,3,I,8,,1.193,1.193,1.053,,2.51,0.141,,
273,Gd,3,I,9,,1.247,1.247,1.107,,2.41,0.123,,
274,Ge,0,C(1),0,,1.2,,,1.2,0.00,0.000,,
275,Ge,0,K(1),4,,1.22,,,,0.00,0.000,,
276,Ge,0,K(2),3,,1.12,,,,0.00,0.000,,
277,Ge,2,I,6,,0.87,0.87,0.73,,2.30,0.242,,
278,Ge,4,I,4,,0.530,0.530,0.390,,7.55,2.138,,
279,Ge,4,I,6,,0.670,0.670,0.530,,5.97,1.058,,
280,H,0,C(1),0,,0.31,,,0.31,0.00,0.000,,
281,H,0,K(1),1,,0.37,,,,0.00,0.000,,
282,H,0,W,0,,1.4,,,,0.00,0.000,,
283,H,1,I,1,,-0.24,-0.24,-0.38,,-4.17,-5.756,,
284,H,1,I,2,,-0.04,-0.04,-0.18,,-25.00,-1243.398,,
285,He,0,C(1),0,,0.28,,,0.28,0.00,0.000,,
286,He,0,W,0,,1.8,,,,0.00,0.000,,
287,Hf,0,C(1),0,,1.75,,,1.75,0.00,0.000,,
288,Hf,0,M,12,,1.564,,,,0.00,0.000,,
289,Hf,4,I,4,,0.72,0.72,0.58,,5.56,0.853,,
290,Hf,4,I,6,,0.85,0.85,0.71,,4.71,0.518,,
291,Hf,4,I,7,,0.90,0.90,0.76,,4.44,0.437,,
292,Hf,4,I,8,,0.97,0.97,0.83,,4.12,0.349,,
293,Hg,0,C(1),0,,1.32,,,1.32,0.00,0.000,,
294,Hg,0,M,12,,1.62,,,,0.00,0.000,,
295,Hg,0,W,0,,1.5,,,,0.00,0.000,"HoWi calculated as Linear extrapolation 0.06*CN+0.8, for Shannon radius subtracted 0.14",
296,Hg,1,I,3,,1.11,1.11,0.97,,0.90,0.058,,
297,Hg,1,I,6,,1.33,1.33,1.19,,0.75,0.034,,
298,Hg,2,I,2,,0.83,0.83,0.69,,2.41,0.278,,
299,Hg,2,I,4,,1.10,1.10,0.96,,1.82,0.120,,
300,Hg,2,I,6,,1.16,1.16,1.02,,1.72,0.102,,
301,Hg,2,I,8,,1.28,1.28,1.14,,1.56,0.076,,
302,Ho,0,C(1),0,,1.92,,,1.92,0.00,0.000,,
303,Ho,0,M,12,,1.743,,,,0.00,0.000,,
304,Ho,3,I,6,,1.041,1.041,0.901,,2.88,0.212,,
305,Ho,3,I,8,,1.155,1.155,1.015,,2.60,0.155,,
306,Ho,3,I,9,,1.212,1.212,1.072,,2.48,0.134,,
307,Ho,3,I,10,,1.26,1.26,1.12,,2.38,0.119,,
308,I,-1,I,6,,2.06,2.06,2.2,,-0.49,-0.009,,
309,I,0,C(1),0,,1.39,,,1.39,0.00,0.000,,
310,I,0,K(1),1,,1.33,,,,0.00,0.000,,
311,I,0,W,0,,2.1,,,,0.00,0.000,,
312,I,5,I,6,,1.09,1.09,0.95,,4.59,0.307,,
313,I,5,I,3p,,0.58,0.58,0.44,,8.62,2.039,,
314,I,7,I,4,,0.56,0.56,0.42,,12.50,3.172,,
315,I,7,I,6,,0.67,0.67,0.53,,10.45,1.852,,
316,In,0,C(1),0,,1.42,,,1.42,0.00,0.000,,
317,In,0,K(1),3,,1.44,,,,0.00,0.000,"HoWi calculated as Linear extrapolation 0.05*CN+1.01, for Shannon radius subtracted 0.14",
318,In,0,K(2),2,,1.34,,,,0.00,0.000,,
319,In,0,M,12,,1.67,,,,0.00,0.000,,
320,In,0,W,0,,1.9,,,,0.00,0.000,,
321,In,3,I,4,,0.76,0.76,0.62,,3.95,0.544,,
322,In,3,I,6,,0.940,0.940,0.800,,3.19,0.287,,
323,In,3,I,8,,1.06,1.06,0.92,,2.83,0.200,,
324,Ir,0,C(1),0,,1.41,,,1.41,0.00,0.000,,
325,Ir,0,M,12,,1.357,,,,0.00,0.000,,
326,Ir,3,I,6,,0.82,0.82,0.68,,3.66,0.433,,
327,Ir,4,I,6,,0.765,0.765,0.625,,5.23,0.711,,
328,Ir,5,I,6,,0.71,0.71,0.57,,7.04,1.112,,
329,K,0,C(1),0,,2.03,,,2.03,0.00,0.000,,
330,K,0,M,8,,2.272,,,,0.00,0.000,,
331,K,0,M,12,,2.35,,,,0.00,0.000,,
332,K,1,I,4,,1.51,1.51,1.37,,0.66,0.023,,
333,K,1,I,6,,1.52,1.52,1.38,,0.66,0.023,,
334,K,1,I,7,,1.60,1.60,1.46,,0.63,0.019,,
335,K,1,I,8,,1.65,1.65,1.51,,0.61,0.018,,
336,K,1,I,9,,1.69,1.69,1.55,,0.59,0.016,,
337,K,1,I,10,,1.73,1.73,1.59,,0.58,0.015,,
338,K,1,I,12,,1.78,1.78,1.64,,0.56,0.014,,
339,Kr,0,C(1),0,,1.16,,,1.16,0.00,0.000,,
340,Kr,0,W,0,,2.0,,,,0.00,0.000,,
341,La,0,C(1),0,,2.07,,,2.07,0.00,0.000,,
342,La,0,M,12,,1.870,,,,0.00,0.000,,
343,La,3,I,6,,1.172,1.172,1.032,,2.56,0.148,,
344,La,3,I,7,,1.24,1.24,1.10,,2.42,0.125,,
345,La,3,I,8,,1.300,1.300,1.160,,2.31,0.109,,
346,La,3,I,9,,1.356,1.356,1.216,,2.21,0.096,,
347,La,3,I,10,,1.41,1.41,1.27,,2.13,0.085,,
348,La,3,I,12,,0.87,1.50,1.36,,3.45,0.363,,
349,Li,0,C(1),0,,1.28,,,1.28,0.00,0.000,,
350,Li,0,M,8,,1.52,,,,0.00,0.000,,
351,Li,0,M,12,,1.57,,,,0.00,0.000,,
352,Li,1,I,4,,0.730,0.730,0.590,,1.37,0.205,,
353,Li,1,I,6,,0.90,0.90,0.76,,1.11,0.109,,
354,Li,1,I,8,,1.06,1.06,0.92,,0.94,0.067,,
355,Li,1,I,12,,1.3917,1.3917,1.2517,,0.72,0.030,,
356,Lu,0,C(1),0,,1.87,,,1.87,0.00,0.000,,
357,Lu,0,M,12,,1.718,,,,0.00,0.000,,
358,Lu,3,I,6,,1.001,1.001,0.861,,3.00,0.238,,
359,Lu,3,I,8,,1.117,1.117,0.977,,2.69,0.171,,
360,Lu,3,I,9,,1.172,1.172,1.032,,2.56,0.148,,
361,Mg,0,C(1),0,,1.41,,,1.41,0.00,0.000,,
362,Mg,0,M,12,,1.599,,,,0.00,0.000,,
363,Mg,2,I,4,,0.71,0.71,0.57,,2.82,0.445,,
364,Mg,2,I,5,,0.80,0.80,0.66,,2.50,0.311,,
365,Mg,2,I,6,,0.860,0.860,0.720,,2.33,0.250,,
366,Mg,2,I,8,,1.03,1.03,0.89,,1.94,0.146,,
367,Mn,0,C(1),0,ls,1.39,,,1.39,0.00,0.000,,
368,Mn,0,C(1),0,hs,1.61,,,1.61,0.00,0.000,,
369,Mn,0,M,12,,1.37,,,,0.00,0.000,,
370,Mn,2,I,4,hs,0.80,0.80,0.66,,2.50,0.311,,
371,Mn,2,I,5,hs,0.89,0.89,0.75,,2.25,0.226,,
372,Mn,2,I,6,ls,0.81,0.81,0.67,,2.47,0.299,,
373,Mn,2,I,6,hs,0.970,0.970,0.830,,2.06,0.174,,
374,Mn,2,I,7,hs,1.04,1.04,0.9,,1.92,0.141,,
375,Mn,2,I,8,,1.10,1.10,0.96,,1.82,0.120,,
376,Mn,3,I,5,,0.72,0.72,0.58,,4.17,0.640,,
377,Mn,3,I,6,ls,0.72,0.72,0.58,,4.17,0.640,,
378,Mn,3,I,6,hs,0.785,0.785,0.645,,3.82,0.494,,
379,Mn,4,I,4,,0.53,0.53,0.39,,7.55,2.138,,
380,Mn,4,I,6,,0.670,0.670,0.530,,5.97,1.058,,
381,Mn,5,I,4,,0.47,0.47,0.33,,10.64,3.832,,
382,Mn,6,I,4,,0.395,0.395,0.255,,15.19,7.747,,
383,Mn,7,I,4,,0.39,0.39,0.25,,17.95,9.391,,
384,Mn,7,I,6,,0.60,0.60,0.46,,11.67,2.579,,
385,Mo,0,C(1),0,,1.54,,,1.54,0.00,0.000,,
386,Mo,0,M,8,,1.363,,,,0.00,0.000,,
387,Mo,0,M,12,,1.40,,,,0.00,0.000,,
388,Mo,3,I,6,,0.83,0.83,0.69,,3.61,0.418,,
389,Mo,4,I,6,,0.790,0.790,0.650,,5.06,0.646,,
390,Mo,5,I,4,,0.60,0.60,0.46,,8.33,1.842,,
391,Mo,5,I,6,,0.75,0.75,0.61,,6.67,0.943,,
392,Mo,6,I,4,,0.55,0.55,0.41,,10.91,2.870,"Tippfehler im HoWi, soll das 1.87 sein ?",
393,Mo,6,I,5,,0.64,0.64,0.5,,9.38,1.821,,
394,Mo,6,I,6,,0.73,0.73,0.59,,8.22,1.227,,
395,Mo,6,I,7,,0.87,0.87,0.73,,6.90,0.725,,
396,N,-3,I,4,,1.32,1.32,1.46,,-2.27,-0.104,,
397,N,0,C(1),0,,0.71,,,0.71,0.00,0.000,,
398,N,0,K(1),3a,,0.70,,,,0.00,0.000,,
399,N,0,K(1),3b,,0.74,,,,0.00,0.000,,
400,N,0,K(2),2,,0.60,,,,0.00,0.000,,
401,N,0,K(3),1,,0.55,,,,0.00,0.000,,
402,N,0,W,0,,1.6,,,,0.00,0.000,,
403,N,3,I,6,,0.30,0.3,0.16,,10.00,8.842,,
404,N,5,I,3,,0.044,0.04,-0.10,,113.64,4670.917,,
405,N,5,I,6,,0.27,0.27,0.13,,18.52,20.215,"for HoWi calculated with Linear Extrapolation, 0.0825*CN+0.4017, Shannon value taken as HoWi -0.14",
406,Na,0,C(1),0,,1.66,,,1.66,0.00,0.000,,
407,Na,0,M,8,,1.858,,,,0.00,0.000,,
408,Na,0,M,12,,1.91,,,,0.00,0.000,,
409,Na,1,I,4,,1.13,1.13,0.99,,0.88,0.055,,
410,Na,1,I,5,,1.14,1.14,1,,0.88,0.054,,
411,Na,1,I,6,,1.16,1.16,1.02,,0.86,0.051,,
412,Na,1,I,7,,1.26,1.26,1.12,,0.79,0.040,,
413,Na,1,I,8,,1.32,1.32,1.18,,0.76,0.035,,
414,Na,1,I,9,,1.38,1.38,1.24,,0.72,0.030,,
415,Na,1,I,12,,1.53,1.53,1.39,,0.65,0.022,,
416,Nb,0,C(1),0,,1.64,,,1.64,0.00,0.000,,
417,Nb,0,M,8,,1.429,,,,0.00,0.000,,
418,Nb,0,M,12,,1.47,,,,0.00,0.000,,
419,Nb,3,I,6,,0.86,0.86,0.72,,3.49,0.375,,
420,Nb,4,I,6,,0.82,0.82,0.68,,4.88,0.577,,
421,Nb,4,I,8,,0.93,0.93,0.79,,4.30,0.396,,
422,Nb,5,I,4,,0.62,0.62,0.48,,8.06,1.669,,
423,Nb,5,I,6,,0.78,0.78,0.64,,6.41,0.838,,
424,Nb,5,I,7,,0.83,0.83,0.69,,6.02,0.696,,
425,Nb,5,I,8,,0.88,0.88,0.74,,5.68,0.584,,
426,Nd,0,C(1),0,,2.01,,,2.01,0.00,0.000,,
427,Nd,0,M,12,,1.814,,,,0.00,0.000,,
428,Nd,2,I,8,,1.43,1.43,1.29,,1.40,0.054,,
429,Nd,2,I,9,,1.49,1.49,1.35,,1.34,0.048,,
430,Nd,3,I,6,,1.123,1.123,0.983,,2.67,0.169,,
431,Nd,3,I,8,,1.249,1.249,1.109,,2.40,0.123,,
432,Nd,3,I,9,,1.303,1.303,1.163,,2.30,0.108,,
433,Nd,3,I,12,,1.41,1.41,1.27,,2.13,0.085,,
434,Ne,0,C(1),0,,0.58,,,0.58,0.00,0.000,,
