#,Element,Ox.-number Z,"bondtype",CN,"Spinstate","Radius RHoWior Cordero","Crystal Radius CRShannon","Ionic Radius IRShannon","Covalent RadiusCordero",Z/R,"charge surface ratio[(Z/R)/4pR2]",Notes,
533,Pr,4,I,6,,0.99,0.99,0.85,,4.04,0.328,,
534,Pr,4,I,8,,1.10,1.1,0.96,,3.64,0.239,,
535,Pt,0,C(1),0,,1.36,,,1.36,0.00,0.000,,
536,Pt,0,M,12,,1.373,,,,0.00,0.000,,
537,Pt,0,W,0,,1.7,,,,0.00,0.000,,
538,Pt,2,I,6,,0.94,0.94,0.8,,2.13,0.192,,
539,Pt,2,I,4q,,0.74,0.74,0.6,,2.70,0.393,,
540,Pt,4,I,6,,0.765,0.765,0.625,,5.23,0.711,,
541,Pt,5,I,6,,0.71,0.71,0.57,,7.04,1.112,,
542,Pu,0,C(1),0,,1.87,,,1.87,0.00,0.000,,
543,Pu,0,M,12,,1.523,,,,0.00,0.000,,
544,Pu,3,I,6,,1.14,1.14,1,,2.63,0.161,,
545,Pu,4,I,6,,1.00,1,0.86,,4.00,0.318,,
546,Pu,4,I,8,,1.10,1.1,0.96,,3.64,0.239,,
547,Pu,5,I,6,,0.88,0.88,0.74,,5.68,0.584,,
548,Pu,6,I,6,,0.85,0.85,0.71,,7.06,0.777,,
549,Ra,0,C(1),0,,2.21,,,2.21,0.00,0.000,,
550,Ra,0,M,8,,2.23,,,,0.00,0.000,,
551,Ra,0,M,12,,2.30,,,,0.00,0.000,,
552,Ra,2,I,8,,1.62,1.62,1.48,,1.23,0.037,,
553,Ra,2,I,12,,1.84,1.84,1.7,,1.09,0.026,,
554,Rb,0,C(1),0,,2.2,,,2.2,0.00,0.000,,
555,Rb,0,M,8,,2.475,,,,0.00,0.000,,
556,Rb,0,M,12,,2.50,,,,0.00,0.000,,
557,Rb,1,I,6,,1.66,1.66,1.52,,0.60,0.017,,
558,Rb,1,I,7,,1.70,1.7,1.56,,0.59,0.016,,
559,Rb,1,I,8,,1.75,1.75,1.61,,0.57,0.015,,
560,Rb,1,I,9,,1.77,1.77,1.63,,0.56,0.014,,
561,Rb,1,I,10,,1.80,1.8,1.66,,0.56,0.014,,
562,Rb,1,I,11,,1.83,1.83,1.69,,0.55,0.013,,
563,Rb,1,I,12,,1.86,1.86,1.72,,0.54,0.012,,
564,Rb,1,I,14,,1.97,1.97,1.83,,0.51,0.010,,
565,Re,0,C(1),0,,1.51,,,1.51,0.00,0.000,,
566,Re,0,M,12,,1.371,,,,0.00,0.000,,
567,Re,4,I,6,,0.77,0.77,0.63,,5.19,0.697,,
568,Re,5,I,6,,0.72,0.72,0.58,,6.94,1.066,,
569,Re,6,I,6,,0.69,0.69,0.55,,8.70,1.453,,
570,Re,7,I,4,,0.52,0.52,0.38,,13.46,3.962,,
571,Re,7,I,6,,0.67,0.67,0.53,,10.45,1.852,,
572,Rh,0,C(1),0,,1.42,,,1.42,0.00,0.000,,
573,Rh,0,M,12,,1.345,,,,0.00,0.000,,
574,Rh,3,I,6,,0.805,0.805,0.665,,3.73,0.458,,
575,Rh,4,I,6,,0.74,0.74,0.6,,5.41,0.786,,
576,Rh,5,I,6,,0.69,0.69,0.55,,7.25,1.211,,
577,Rn,0,C(1),0,,1.5,,,1.5,0.00,0.000,,
578,Ru,0,C(1),0,,1.46,,,1.46,0.00,0.000,,
579,Ru,0,M,12,,1.325,,,,0.00,0.000,,
580,Ru,3,I,6,,0.82,0.82,0.68,,3.66,0.433,,
581,Ru,4,I,6,,0.760,0.76,0.62,,5.26,0.725,,
582,Ru,5,I,6,,0.705,0.705,0.565,,7.09,1.136,,
583,Ru,7,I,4,,0.52,0.52,0.38,,13.46,3.962,,
584,Ru,8,I,4,,0.50,0.50,0.36,,16.00,5.093,,
585,S,-2,I,6,,1.70,1.70,1.84,,-1.18,-0.032,,
586,S,0,C(1),0,,1.05,,,1.05,0.00,0.000,,
587,S,0,K(1),2,,1.04,,,,0.00,0.000,,
588,S,0,K(2),1,,0.94,,,,0.00,0.000,,
589,S,0,K(3),1,,0.87,,,,0.00,0.000,,
590,S,0,W,0,,1.8,,,,0.00,0.000,,
591,S,4,I,6,,0.51,0.51,0.37,,7.84,2.400,,
592,S,6,I,4,,0.26,0.26,0.12,,23.08,27.166,,
593,S,6,I,6,,0.43,0.43,0.29,,13.95,6.005,,
594,Sb,0,C(1),0,,1.39,,,1.39,0.00,0.000,,
595,Sb,0,K(1),3,,1.41,,,,0.00,0.000,,
596,Sb,0,K(2),2,,1.31,,,,0.00,0.000,,
597,Sb,0,W,0,,2.2,,,,0.00,0.000,,
598,Sb,3,I,5,,0.94,0.94,0.8,,3.19,0.287,,
599,Sb,3,I,6,,0.90,0.90,0.76,,3.33,0.327,,
600,Sb,3,I,4p,,0.90,0.90,0.74,,3.33,0.327,,
601,Sb,5,I,6,,0.74,0.74,0.6,,6.76,0.982,,
602,Sc,0,C(1),0,,1.7,,,1.7,0.00,0.000,,
603,Sc,0,M,12,,1.606,,,,0.00,0.000,,
604,Sc,3,I,6,,0.885,0.885,0.745,,3.39,0.344,,
605,Sc,3,I,8,,1.010,1.01,0.87,,2.97,0.232,,
606,Se,-2,I,6,,1.84,1.84,1.98,,-1.09,-0.026,,
607,Se,0,C(1),0,,1.2,,,1.2,0.00,0.000,,
608,Se,0,K(1),2,,1.17,,,,0.00,0.000,,
609,Se,0,K(2),1,,1.07,,,,0.00,0.000,,
610,Se,0,W,0,,1.9,,,,0.00,0.000,,
611,Se,4,I,6,,0.64,0.64,0.5,,6.25,1.214,,
612,Se,6,I,4,,0.42,0.42,0.28,,14.29,6.445,,
613,Se,6,I,6,,0.56,0.56,0.42,,10.71,2.719,,
614,Si,0,C(1),0,,1.11,,,1.11,0.00,0.000,,
615,Si,0,K(1),4,,1.17,,,,0.00,0.000,,
616,Si,0,K(2),3,,1.07,,,,0.00,0.000,,
617,Si,0,K(3),2,,1.00,,,,0.00,0.000,,
618,Si,0,W,0,,2.1,,,,0.00,0.000,,
619,Si,4,I,4,,0.40,0.4,0.26,,10.00,4.974,,
620,Si,4,I,6,,0.540,0.54,0.4,,7.41,2.021,,
621,Sm,0,C(1),0,,1.98,,,1.98,0.00,0.000,,
622,Sm,0,M,12,,1.802,,,,0.00,0.000,,
623,Sm,2,I,6,,1.31,1.31,1.17,,1.53,0.071,,
624,Sm,2,I,7,,1.36,1.36,1.22,,1.47,0.063,,
625,Sm,2,I,8,,1.41,1.41,1.27,,1.42,0.057,,
626,Sm,2,I,9,,1.46,1.46,1.32,,1.37,0.051,,
627,Sm,2,I,12,,1.61,1.61,1.47,,1.24,0.038,,
